forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.01,4657
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.025,4753
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.05,4837
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.1,4935
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.15,5001
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.2,5055
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.25,5101
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.3,5142
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.35,5181
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.4,5218
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.45,5254
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.5,5289
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.55,5325
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.6,5361
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.65,5399
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.7,5439
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.75,5482
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.8,5531
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.85,5588
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.9,5660
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.95,5768
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.975,5863
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,quantile,0.99,5974
2021-02-01,1 wk ahead inc death,2021-02-06,GM,Germany,point,NA,5289
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.01,4127
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.025,4213
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.05,4287
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.1,4374
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.15,4434
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.2,4481
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.25,4522
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.3,4559
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.35,4594
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.4,4627
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.45,4659
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.5,4690
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.55,4722
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.6,4754
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.65,4788
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.7,4823
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.75,4862
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.8,4905
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.85,4956
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.9,5020
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.95,5117
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.975,5201
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,quantile,0.99,5300
2021-02-01,2 wk ahead inc death,2021-02-13,GM,Germany,point,NA,4690
