forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.01,1063
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.025,1108
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.05,1148
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.1,1194
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.15,1227
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.2,1253
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.25,1275
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.3,1296
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.35,1315
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.4,1333
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.45,1351
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.5,1369
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.55,1387
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.6,1405
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.65,1424
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.7,1445
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.75,1467
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.8,1492
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.85,1521
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.9,1559
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.95,1616
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.975,1666
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.99,1726
2021-03-08,1 wk ahead inc death,2021-03-13,GM,Germany,point,NA,1369
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.01,952
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.025,992
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.05,1028
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.1,1070
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.15,1099
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.2,1122
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.25,1142
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.3,1161
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.35,1178
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.4,1195
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.45,1211
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.5,1227
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.55,1243
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.6,1259
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.65,1277
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.7,1295
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.75,1315
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.8,1337
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.85,1364
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.9,1398
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.95,1449
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.975,1494
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,quantile,0.99,1548
2021-03-08,2 wk ahead inc death,2021-03-20,GM,Germany,point,NA,1227
