forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.01,864
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.025,901
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.05,933
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.1,972
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.15,998
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.2,1019
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.25,1038
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.3,1055
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.35,1071
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.4,1086
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.45,1100
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.5,1115
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.55,1130
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.6,1145
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.65,1161
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.7,1177
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.75,1196
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.8,1216
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.85,1241
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.9,1271
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.95,1318
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.975,1360
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,quantile,0.99,1409
2021-03-16,1 wk ahead inc death,2021-03-27,GM,Germany,point,NA,1115
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.01,870
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.025,907
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.05,940
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.1,979
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.15,1005
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.2,1027
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.25,1046
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.3,1063
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.35,1078
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.4,1094
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.45,1108
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.5,1123
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.55,1138
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.6,1153
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.65,1169
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.7,1186
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.75,1204
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.8,1225
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.85,1250
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.9,1281
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.95,1328
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.975,1370
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.99,1419
2021-03-16,2 wk ahead inc death,2021-04-03,GM,Germany,point,NA,1123
